name,mm_x,mm_y,um_x,um_y
OS03-163_1A_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
OS03-163_1B_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
OS03-163_1D_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
OS03-163_1F_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E04-186_1A_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E04-186_1B_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E04-186_1D_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E04-186_1F_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E08-101_1A_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E08-101_1B_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E08-101_1D_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E08-101_1F_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E09-136_1A_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E09-136_1B_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E09-136_1D_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E09-136_1F_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E09-164_1A_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E09-164_1B_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E09-164_1F_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E09-164_1D_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E10-179_1A_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-179_1B_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-179_1D_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-179_1F_tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-38_1A_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-38_1B_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-38_1D_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-38_1F_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-88_1A_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-88_1B_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-88_1D_AT8.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E10-88_1F_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-125_A1_US_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-125_A2_US_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-125_A4_US_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-125_A6_US_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-60_2A_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-60_2B_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-60_2D_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-60_2F_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-70_A1_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-70_A2_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-70_A4_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E11-70_A6_TAU.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E12-158_01_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E12-158_02_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E12-158_04_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E12-158_06_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E12-32_A1_us-tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E12-32_A2_us-tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E12-32_A4_us-tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E12-32_A6_us-tau.ndpi,0.00022656727915354463,0.00022753128555176336,0.22656727915354463,0.22753128555176336
E13-11_01_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E13-11_A2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E13-11_06_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E13-11_A4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E14-22_01_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E14-22_02_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E14-22_04_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E14-22_06_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E15-101_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-101_23_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A15-101_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A15-101_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-101_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-106_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-106_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-106_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-106_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-132_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-132_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-132_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-132_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-140_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-140_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-140_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-140_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-65_01_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E15-65_02_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E15-65_04_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E15-65_06_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E15-92_2_PHF-1.svs,0.0002519,0.0002519,0.2519,0.2519
